Time,Driver,DriverNumber,LapTime,LapNumber,TotalSeconds,TyreLife,Position,SpeedI1,SpeedI2,SpeedFL,SpeedST,Sector1TimeTotal,Sector2TimeTotal,Sector3TimeTotal
0 days 01:04:22.870000,VER,1,0 days 00:01:48.811000,1.0,108.811,4.0,1.0,226.0,273.0,237.0,236.0,,30.57,43.417
0 days 01:06:48.473000,VER,1,0 days 00:02:25.603000,2.0,145.603,5.0,1.0,170.0,147.0,200.0,145.0,56.965,45.684,42.954
0 days 01:09:14.436000,VER,1,0 days 00:02:25.963000,3.0,145.963,6.0,1.0,181.0,211.0,174.0,162.0,56.379,46.05,43.534
0 days 01:11:47.578000,VER,1,,4.0,,7.0,1.0,179.0,132.0,274.0,225.0,50.072,46.453,56.634
0 days 01:13:17.851000,VER,1,0 days 00:01:30.273000,5.0,90.273,8.0,1.0,231.0,274.0,274.0,291.0,33.31,30.26,26.703
0 days 01:14:47.260000,VER,1,0 days 00:01:29.409000,6.0,89.409,9.0,1.0,226.0,275.0,275.0,298.0,33.139,29.969,26.301
0 days 01:16:16.343000,VER,1,0 days 00:01:29.083000,7.0,89.083,10.0,1.0,231.0,275.0,275.0,299.0,32.85,29.847,26.386
0 days 01:17:45.705000,VER,1,0 days 00:01:29.362000,8.0,89.362,11.0,1.0,229.0,275.0,275.0,301.0,33.037,29.899,26.426
0 days 01:19:15.031000,VER,1,0 days 00:01:29.326000,9.0,89.326,12.0,1.0,230.0,276.0,275.0,,33.034,29.86,26.432
0 days 01:20:44.488000,VER,1,0 days 00:01:29.457000,10.0,89.457,13.0,1.0,229.0,276.0,274.0,300.0,33.02,29.859,26.578
0 days 01:22:13.845000,VER,1,0 days 00:01:29.357000,11.0,89.357,14.0,1.0,228.0,276.0,275.0,302.0,33.039,29.873,26.445
0 days 01:23:43.047000,VER,1,0 days 00:01:29.202000,12.0,89.202,15.0,1.0,,276.0,275.0,299.0,32.949,29.837,26.416
0 days 01:25:12.062000,VER,1,0 days 00:01:29.015000,13.0,89.015,16.0,1.0,230.0,277.0,274.0,300.0,32.728,29.829,26.458
0 days 01:26:41.185000,VER,1,0 days 00:01:29.123000,14.0,89.123,17.0,1.0,226.0,275.0,275.0,301.0,32.952,29.835,26.336
0 days 01:28:09.897000,VER,1,0 days 00:01:28.712000,15.0,88.712,18.0,1.0,231.0,277.0,275.0,300.0,32.868,29.69,26.154
0 days 01:29:37.772000,VER,1,0 days 00:01:27.875000,16.0,87.875,19.0,1.0,229.0,277.0,275.0,,32.519,29.524,25.832
0 days 01:31:09.977000,VER,1,0 days 00:01:32.205000,17.0,92.205,20.0,1.0,231.0,276.0,,298.0,32.615,29.751,29.839
0 days 01:33:01.751000,VER,1,0 days 00:01:51.774000,18.0,111.774,4.0,1.0,226.0,274.0,275.0,173.0,54.973,30.317,26.484
0 days 01:34:30.827000,VER,1,0 days 00:01:29.076000,19.0,89.076,5.0,1.0,227.0,272.0,276.0,295.0,32.859,29.801,26.416
0 days 01:35:59.281000,VER,1,0 days 00:01:28.454000,20.0,88.454,6.0,1.0,229.0,274.0,275.0,298.0,32.658,29.618,26.178
0 days 01:37:27.387000,VER,1,0 days 00:01:28.106000,21.0,88.106,7.0,1.0,233.0,277.0,276.0,299.0,32.545,29.436,26.125
